Name,Category,Status
Аманн,Выпечка,Активный
Аманн Черный кунжут,Выпечка,Снят
Бабка Кардамон,Выпечка,Снят
Бабка Корица,Выпечка,Снят
Бабка корица и карамель,Выпечка,Активный
Бабка корица-карамель,Выпечка,Снят
Бабка Мак,Выпечка,Активный
Бабка с капустой,Выпечка,Снят
Багет,Хлеб,Активный
Баскский чизкейк Ваниль,Десерты,Снят
Бейгл 100,Булки,Активный
Бейгл на закваске,Булки,Снят
Бородинский хлеб,Хлеб,Активный
Брауни бг фундук,Десерты,Снят
Бриошь 10х10,Хлеб,Активный
Бриошь булка с маком,Хлеб,Снят
Бриошь для бургера,Хлеб,пф
Бриошь для хот-дога,Хлеб,Special
Бриошь ревень-клубника,Булки,Активный
Бриошь с шапкой,Хлеб,Снят
Булка абрикос-фисташка,Выпечка,Активный
Булка Грецкий орех - мёд,Булки,Снят
Булка для донера,Хлеб,Снят
Булка конопля,Выпечка,Снят
Булка кофе-апельсин,Булки,Снят
Булка миндаль шоколад,Булки,Активный
Булка с кардамоном,Булки,Активный
Булка с корицей,Булки,Активный
Булка с маком,Булки,Активный
Булка с тхиной,Булки,Активный
Булка Тимьян-Чеснок,Булки,Снят
Булка тыква-шалфей,Булки,Снят
Булка цветок,Булки,Снят
Булка цитрус-фундук,Выпечка,Special
Варенье абрикос п/ф (100г),Полуфабрикаты,Снят
Вишня в амаретто п/ф (100г),Полуфабрикаты,Снят
Ганаш ваниль п/ф,Полуфабрикаты,пф
Гранола веган п/ф (100г),Полуфабрикаты,пф
Гранола грецкий орех-клюква ,Полуфабрикаты,Активный
Грушевый пирог со штрейзелем,Выпечка,Снят
Даниш (с грузом),Булки,пф
Даниш (с заварным кремом),Выпечка,пф
Даниш Банан-пекан,Выпечка,Снят
Даниш вишня,Выпечка,Снят
Даниш круглый в форме с грузом,Выпечка,пф
Даниш полента-томаты,Выпечка,Снят
Даниш с вишней,Выпечка,Снят
Даниш с вишней и крамблом,,Активный
Даниш с курдом манго-маракуйа,Десерты,Активный
Даниш франжипан грецкий орех,Выпечка,пф
Даниш чёрная смородина-лаванда,Булки,Активный
Даниш яблочный пирог с заварным кремом,Выпечка,Снят
Дижонская горчица п/ф (100),Полуфабрикаты,пф
Запеканка на рисовой муке без сахара в форме,Полуфабрикаты,Снят
Ириска,Десерты,Снят
Канле,Десерты,Снят
Кекс мак-лимон,Выпечка,Снят
Кекс мак-лимон,Выпечка,Снят
Кекс мак-лимон с кремом,Выпечка,Активный
Кекс морковный без глазури,Выпечка,Снят
Кекс морковный кусок без глазури,Выпечка,Снят
Кекс морковный кусок с карамельной глазурью,Выпечка,Снят
Кекс морковный с карамельной глазурью,Выпечка,Активный
Кекс ромашка,Выпечка,Снят
Кекс шоколад с кремом вареная сгущенка,Выпечка,Активный
