Category,Name,Sales_2025
Булки,Бабка карамелизированный шоколад и кокос,0.0
Булки,Бейгл 100,3985.0
Булки,Бриошь с ванильным кремом в ягодной глазури,928.0
Булки,Булка кофе-апельсин,0.0
Булки,Булка с кардамоном,2583.0
Булки,Булка с корицей,4003.0
Булки,Булка с маком,2548.0
Булки,Булка с тхиной,1794.0
Булки,Ватрушка брусника-ваниль,0.0
Выпечка,Honey butter toast,522.0
Выпечка,Morning bun корица,94.0
Выпечка,Morning bun цедра - кардамон,523.0
Выпечка,Аманн,1937.0
Выпечка,Амман с цедрой лайма,0.0
Выпечка,Бабка Кардамон,54.0
Выпечка,Бабка Корица,37.0
Выпечка,Бабка Мак,0.0
Выпечка,Бабка корица и карамель,595.0
Выпечка,Булка конопля,76.0
Выпечка,Грушевый пирог со штрейзелем,122.0
Выпечка,Даниш Баннофи,0.0
Выпечка,Даниш яблочный пирог с заварным кремом,20.0
Выпечка,Кекс мак-лимон,18.0
Выпечка,Кекс мак-лимон с кремом,1182.0
Выпечка,Кекс морковный с карамельной глазурью,1195.0
Выпечка,Кекс ромашка,32.0
Выпечка,Кекс шоколад с кремом вареная сгущенка,0.0
Выпечка,Кекс шоколад-вишня,40.0
Выпечка,Краффин брауни-вишня,312.0
Выпечка,Краффин кокос,0.0
Выпечка,Круассан 75г,3660.0
Выпечка,Круассан с кремом и компоте,0.0
Выпечка,Маритоццо ваниль-мисо карамель,2267.0
Выпечка,Мини даниш с курдом,0.0
Выпечка,Синнабон с какао,442.0
Выпечка,Синнабоны шоколад-пекан-карамель,2253.0
Выпечка,Улитка заварной крем и изюм,417.0
Десерты,Брауни бг фундук,654.0
Десерты,Канле,1648.0
Десерты,Кекс лимон-малина,52.0
Десерты,Пуддинг мак-лимон с кремом  (кусок),22.0
Десерты,Пуддинг с корицей с кремом  (кусок),0.0
Десерты,Пуддинг с корицей целый,3.0
Десерты,Пудинг корица с карамелью и кремом (кусок),46.0
Десерты,Пудинг шоколадный целый,0.0
Десерты,Чизкейк баскский Ваниль целый,13.0
Десерты,Шу мини earl grey,0.0
Десерты,Шу мини ваниль,356.0
Десерты,Шу мини ваниль-лимон,1085.0
Десерты,Шу мини жасмин,796.0
Десерты,Шу мини малина-ваниль,0.0
Печенье,Печенье на закваске шоколад,1999.0
Печенье,Печенье финик-пекан,186.0
Печенье,Печенье шоколадное с солью,442.0
Полуфабрикаты,Варенье абрикос п/ф (100г),166.0
Полуфабрикаты,Вишня в амаретто п/ф (100г),69.0
Полуфабрикаты,Гранола грецкий орех-клюква,347.0
Полуфабрикаты,Запеканка на рисовой муке без сахара в форме,101.0
Полуфабрикаты,Курица су-вид п/ф (100г),40.0
Полуфабрикаты,Маринованный лук п/ф,44.0
Полуфабрикаты,Овечий сыр,260.0
Полуфабрикаты,Пастрами п/ф (100г),676.0
Полуфабрикаты,Солёная карамель п/ф (100г),35.0
Хлеб,Багет,1111.0
Хлеб,Бейгл 120,20.0
Хлеб,Бородинский хлеб,388.0
Хлеб,Бриошь 10х10,8.0
Хлеб,Бриошь для бургера,1213.0
Хлеб,Бриошь с шапкой,508.0
Хлеб,"Пшеничный 1,5",8.0
Хлеб,"Тартин 0,75",2829.0
Хлеб,"Тартин 1,5",1742.0
Хлеб,Тартин гречка,1340.0
Хлеб,Фокачча 400х600,1481.0
Хлеб,Фокачча GN 1/3,135.0
Хлеб,Фокачча GN 2/3,50.0
